individual,species,population,year,predator,bodylength,abdomenlength,seg10width,seg9width,seg8width,seg7width,seg6width,seg5width,seg4width,seg3width,seg2width,seg10length,seg9length,seg8length,seg7length,seg6length,seg5length,seg4length,seg3length,seg2length,ventralarea
1,dubia,storarammossjoen,2012,invertebrate,16.369,9.180,1.423,2.934,4.716,6.276,6.914,6.850,6.286,5.366,4.393,0.154,0.947,1.127,1.190,1.357,1.255,1.101,0.768,0.692,52.242
2,dubia,storarammossjoen,2012,invertebrate,15.367,9.029,1.384,2.950,4.640,6.217,6.715,6.630,6.076,5.094,4.236,0.166,0.985,1.066,1.149,1.301,1.190,1.038,0.789,0.692,49.739
3,dubia,storarammossjoen,2012,invertebrate,16.599,9.458,1.279,2.967,4.614,6.110,6.749,6.721,6.136,5.252,4.327,0.122,0.926,1.034,1.184,1.348,1.293,1.062,0.925,0.830,53.027
4,dubia,storarammossjoen,2012,invertebrate,16.188,8.939,NA,2.930,4.597,6.263,6.913,6.843,6.281,5.298,4.316,NA,0.825,1.053,1.193,1.351,1.228,1.000,0.877,0.789,51.620
5,dubia,storarammossjoen,2012,invertebrate,17.357,9.804,1.423,2.935,4.577,5.976,6.438,6.390,5.952,5.159,4.360,0.192,0.835,1.090,1.295,1.449,1.334,1.192,1.038,0.949,52.576
6,dubia,storarammossjoen,2012,invertebrate,17.999,10.789,1.509,2.918,4.772,6.057,6.608,6.588,6.118,5.284,4.527,0.185,0.960,1.429,1.489,1.428,1.367,1.203,0.938,0.836,59.326
7,dubia,storarammossjoen,2012,invertebrate,16.607,9.790,1.509,3.140,4.947,6.613,7.263,7.140,6.543,5.561,4.579,0.158,1.088,1.106,1.298,1.386,1.333,1.088,0.913,0.719,58.511
8,dubia,storarammossjoen,2012,invertebrate,17.441,9.728,NA,3.024,4.813,6.379,7.057,6.895,6.429,5.402,4.524,NA,0.885,1.216,1.290,1.386,1.310,1.079,0.905,0.846,57.143
9,dubia,storarammossjoen,2012,invertebrate,17.081,9.481,NA,2.828,4.536,5.950,6.490,6.453,6.020,5.140,4.226,NA,0.776,1.052,1.322,1.391,1.299,1.092,0.873,0.839,51.640
10,dubia,storarammossjoen,2012,invertebrate,16.812,9.577,1.485,2.999,4.750,6.345,6.871,6.845,6.265,5.404,4.532,0.167,0.986,1.152,1.291,1.430,1.319,1.055,0.847,0.763,55.196
11,dubia,storarammossjoen,2012,invertebrate,17.926,10.349,1.502,3.062,4.969,6.428,7.024,7.022,6.521,5.573,4.672,0.189,0.750,1.168,1.528,1.584,1.445,1.223,1.042,0.862,60.977
